sav,val,W,P,W_minus_P,mean_vrr,std_vrr,site
b_5_3,0.8985330073349633,5,3,2,0.014318203572908195,0.006276452256228888,Gemenc
b_7_1,0.9376528117359414,7,1,6,0.2512494933034598,0.05328223549228185,Gemenc
b_7_2,0.9352078239608802,7,2,5,0.056273166415018026,0.025564246023046883,Gemenc
b_7_3,0.9352078239608802,7,3,4,0.05627316641501804,0.025564246023046803,Gemenc
b_7_4,0.8924205378973105,7,4,3,0.0036206671387107566,0.0021205980457289875,Gemenc
b_7_5,0.8924205378973105,7,5,2,0.0036206671387085908,0.002120598045728784,Gemenc
b_9_1,0.9229828850855746,9,1,8,0.3285913426605593,0.0551935655909032,Gemenc
b_9_2,0.938875305623472,9,2,7,0.11762578446030107,0.046605494608694766,Gemenc
b_9_3,0.938875305623472,9,3,6,0.11762578446029866,0.04660549460869487,Gemenc
b_9_4,0.91320293398533,9,4,5,0.023599348173125582,0.014363380887946168,Gemenc
b_9_5,0.91320293398533,9,5,4,0.023599348173130336,0.014363380887946916,Gemenc
b_9_6,0.8997555012224938,9,6,3,-9.9664326282253e-15,1.035255846491446e-14,Gemenc
b_9_7,0.8997555012224938,9,7,2,0.0,0.0,Gemenc
original,0.852078239608802,0,0,0,0.0,0.0,Gemenc
